"Year","Item (code)","Item","Value","Flag"
"2012","1633","Sawnwood (NC)","","..."
"2012","1604","Sawlogs and Veneer Logs (NC)","",".."
"2012","1640","Plywood","",".."
"2012","1634","Veneer Sheets","",".."
"2011","1633","Sawnwood (NC)","","..."
"2011","1604","Sawlogs and Veneer Logs (NC)","",".."
"2011","1640","Plywood","","..."
"2011","1634","Veneer Sheets","",".."
"2010","1633","Sawnwood (NC)","",".."
"2010","1604","Sawlogs and Veneer Logs (NC)","",".."
"2010","1640","Plywood","","..."
"2010","1634","Veneer Sheets","",".."
"2005","1640","Plywood","",".."
"2005","1634","Veneer Sheets","",".."
"2005","1633","Sawnwood (NC)","",".."
"2005","1604","Sawlogs and Veneer Logs (NC)","",".."
"2009","1634","Veneer Sheets","","..."
"2009","1640","Plywood","",".."
"2009","1604","Sawlogs and Veneer Logs (NC)","",".."
"2009","1633","Sawnwood (NC)","","..."
"2008","1634","Veneer Sheets","","..."
"2008","1640","Plywood","",".."
"2008","1604","Sawlogs and Veneer Logs (NC)","",".."
"2008","1633","Sawnwood (NC)","",".."
"2007","1634","Veneer Sheets","","..."
"2007","1640","Plywood","",".."
"2007","1604","Sawlogs and Veneer Logs (NC)","",".."
"2007","1633","Sawnwood (NC)","","..."
"2006","1634","Veneer Sheets","","..."
"2006","1640","Plywood","",".."
"2006","1604","Sawlogs and Veneer Logs (NC)","",".."
"2006","1633","Sawnwood (NC)","","..."
